192.0,0.001
256.0,0.001
224.0,0.001
320.0,0.001
288.0,0.001
160.0,0.002
352.0,0.002
322.0,0.003
290.0,0.003
258.0,0.003
226.0,0.003
194.0,0.003
354.0,0.004
128.0,0.004
162.0,0.004
384.0,0.004
324.0,0.005
292.0,0.005
260.0,0.005
228.0,0.005
196.0,0.005
386.0,0.006
356.0,0.006
164.0,0.006
416.0,0.006
96.0,0.006
130.0,0.006
262.0,0.007
230.0,0.007
198.0,0.007
294.0,0.007
326.0,0.007
418.0,0.008
388.0,0.008
358.0,0.008
166.0,0.008
132.0,0.008
98.0,0.008
296.0,0.009
264.0,0.009
232.0,0.009
200.0,0.01
100.0,0.01
390.0,0.01
134.0,0.01
420.0,0.01
328.0,0.01
298.0,0.011
266.0,0.011
234.0,0.011
